Date,Mexico,Aguascalientes,Baja California,Campeche,Chihuahua,DistritoFederal,Jalisco,Estado de Mexico,Morelos,Nuevo Leon,Oaxaca,Puebla,Quintana Roo,Sonora,Tamaulipas,Veracruz,Yucatan
2003-09-28,683,,,,,640,864,,,,,811,,,,,
2003-10-05,707,,,,,692,927,,,,,829,,,,,
2003-10-12,800,,,,,709,990,,,,,938,,,,,
2003-10-19,858,,,,,836,1016,,,,,862,,,,,
2003-10-26,755,,,,,777,945,,,,,838,,,,,
2003-11-02,843,,,,,880,887,,,,,818,,,,,
2003-11-09,957,,,,,971,878,,,,,858,,,,,
2003-11-16,894,,,,,925,868,,,,,895,,,,,
2003-11-23,880,,,,,824,821,,,,,873,,,,,
2003-11-30,979,,,,,923,914,,,,,881,,,,,
2003-12-07,1025,,,,,994,1131,,,,,885,,,,,
2003-12-14,1242,,,,,1306,1226,,,,,914,,,,,
2003-12-21,1346,,,,,1380,1260,,,,,951,,,,,
2003-12-28,1264,,,,,1359,1285,,,,,988,,,,,
2004-01-04,1108,,,,,1096,1183,,,,,969,,,,,
2004-01-11,1026,,,,,1085,1034,,,,,999,,,,,
2004-01-18,977,,,,,1007,960,,,,,1004,,,,,
2004-01-25,976,,,,,965,1031,,,,,1037,,,,,
2004-02-01,932,,,,,895,965,,,,,979,,,,,
2004-02-08,939,,,,,967,868,,,,,935,,,,,
2004-02-15,913,,,,,918,744,,,,,930,,,,,
2004-02-22,974,,,,,1018,817,,,,,962,,,,,
2004-02-29,944,,,,,950,1016,,,,,925,,,,,
2004-03-07,1040,,,,,993,1084,,,,,901,,,,,
2004-03-14,1028,,,,,1038,1081,,,,,929,,,,,
2004-03-21,1021,,,,,1020,1037,,,,,987,,,,,
2004-03-28,880,,,,,844,957,,,,,1042,,,,,
2004-04-04,871,,,,,804,936,,,,,1086,,,,,
2004-04-11,908,,,,,859,989,,,,,1126,,,,,
2004-04-18,838,,,,,801,948,,,,,1120,,,,,
2004-04-25,828,,,,,753,1079,,,,,997,,,,,
2004-05-02,799,,,,,774,995,,,,,913,,,,,
2004-05-09,790,,,,,720,873,,,,,1018,,,,,
2004-05-16,852,,,,,815,855,,,,,1017,,,,,
2004-05-23,733,,,,,735,727,,,,,1117,,,,,
2004-05-30,707,,,,,655,685,,,,,1148,,,,,
2004-06-06,650,,,,,697,677,,,,,1067,,,,,
2004-06-13,668,,,,,637,673,,,,,1023,,,,,
2004-06-20,669,,,,,661,631,,,,,960,,,,,
2004-06-27,603,,,,,607,632,,,,,944,,,,,
2004-07-04,677,,,,,690,628,,,,,956,,,,,
2004-07-11,624,,,,,661,682,,,,,867,,,,,
2004-07-18,634,,,,,638,689,,,,,829,,,,,
2004-07-25,649,,,,,685,655,,,,,807,,,,,
2004-08-01,618,,,,,598,623,,,,,762,,,,,
2004-08-08,613,,,,,611,581,,,,,730,,,,,
2004-08-15,558,,,,,574,546,,,,,706,,,,,
2004-08-22,556,,,,,528,536,,,,,683,,,,,
2004-08-29,661,,,,,617,612,,,,,809,,,,,
2004-09-05,771,,,,,773,805,,,,,926,,,,,
2004-09-12,810,,,,,857,752,,,,,840,,,,,
2004-09-19,884,,,,,875,757,,,,,822,,,,,
2004-09-26,874,,,,,829,823,,,,,887,,,,,
2004-10-03,906,,,,,848,895,,,,,963,,,,,
2004-10-10,885,,,,,819,1038,,,,,953,,,,,
2004-10-17,946,,,,,912,1081,,,,,1068,,,,,
2004-10-24,933,,,,,860,1104,,,,,1175,,,,,
2004-10-31,1079,,,,,1009,1082,,,,,1295,,,,,
2004-11-07,1044,,,,,1037,1023,,,,,1461,,,,,
2004-11-14,1056,,,,,1022,1138,,,,,1515,,,,,
2004-11-21,1141,,,,,1158,1175,,,,,1400,,,,,
2004-11-28,1190,,,,,1269,1268,,,,,1344,,,,,
2004-12-05,1185,,,,,1174,1172,,,,,1460,,,,,
2004-12-12,1237,,,,,1319,1064,,,,,1699,,,,,
2004-12-19,1364,,,,,1297,1147,,,,,2244,,,,,
2004-12-26,1409,,,,,1459,1186,,,,,2208,,,,,
2005-01-02,1330,,,,,1438,1209,,,,,1679,,,,,
2005-01-09,1206,,,,,1246,1252,,,,,1505,,,,,
2005-01-16,1216,,,,,1262,1275,,,,,1355,,,,,
2005-01-23,1187,,,,,1208,1118,,,,,1419,,,,,
2005-01-30,1052,,,,,1030,977,,,,,1354,,,,,
2005-02-06,1092,,,,,1062,946,,,,,1374,,,,,
2005-02-13,1139,,,,,1074,1096,,,,,1327,,,,,
2005-02-20,1120,,,,,1087,1125,,,,,1242,,,,,
2005-02-27,1177,,,,,1112,1209,,,,,1465,,,,,
