Date,Poland
2004-09-26,19
2004-10-03,28
2004-10-10,61
2004-10-17,62
2004-10-24,57
2004-10-31,56
2004-11-07,56
2004-11-14,48
2004-11-21,49
2004-11-28,46
2004-12-05,43
2004-12-12,44
2004-12-19,40
2004-12-26,43
2005-01-02,47
2005-01-09,52
2005-01-16,53
2005-01-23,62
2005-01-30,271
2005-02-06,392
2005-02-13,423
2005-02-20,404
2005-02-27,466
2005-03-06,442
2005-03-13,267
2005-03-20,182
2005-03-27,156
2005-04-03,98
2005-04-10,76
2005-04-17,59
2005-04-24,49
2005-05-01,43
2005-05-08,36
2005-05-15,32
2005-05-22,29
2005-05-29,25
2005-06-05,22
2005-06-12,20
2005-06-19,18
2005-06-26,17
2005-07-03,16
2005-07-10,14
2005-07-17,13
2005-07-24,12
2005-07-31,12
2005-08-07,12
2005-08-14,12
2005-08-21,12
2005-08-28,12
2005-09-04,14
2005-09-11,23
2005-09-18,37
2005-09-25,61
2005-10-02,75
2005-10-09,109
2005-10-16,122
2005-10-23,88
2005-10-30,66
2005-11-06,66
2005-11-13,60
2005-11-20,57
2005-11-27,49
2005-12-04,53
2005-12-11,49
2005-12-18,51
2005-12-25,50
2006-01-01,54
2006-01-08,54
2006-01-15,51
2006-01-22,55
2006-01-29,57
2006-02-05,55
2006-02-12,63
2006-02-19,79
2006-02-26,93
2006-03-05,116
2006-03-12,150
2006-03-19,130
2006-03-26,116
2006-04-02,115
2006-04-09,82
2006-04-16,57
2006-04-23,43
2006-04-30,37
2006-05-07,32
2006-05-14,28
2006-05-21,24
2006-05-28,23
2006-06-04,23
2006-06-11,21
2006-06-18,19
2006-06-25,19
2006-07-02,17
2006-07-09,16
2006-07-16,15
2006-07-23,14
2006-07-30,13
2006-08-06,13
2006-08-13,12
2006-08-20,12
2006-08-27,11
2006-09-03,10
2006-09-10,12
2006-09-17,22
2006-09-24,44
2006-10-01,49
2006-10-08,52
2006-10-15,61
2006-10-22,76
2006-10-29,70
2006-11-05,57
2006-11-12,50
2006-11-19,47
2006-11-26,46
2006-12-03,46
2006-12-10,45
2006-12-17,42
2006-12-24,36
2006-12-31,37
2007-01-07,41
2007-01-14,49
2007-01-21,54
2007-01-28,67
2007-02-04,136
2007-02-11,141
2007-02-18,194
2007-02-25,216
2007-03-04,232
2007-03-11,159
2007-03-18,116
2007-03-25,87
2007-04-01,61
2007-04-08,51
2007-04-15,40
2007-04-22,36
2007-04-29,32
2007-05-06,26
2007-05-13,22
2007-05-20,21
2007-05-27,19
2007-06-03,16
2007-06-10,16
2007-06-17,14
2007-06-24,13
2007-07-01,11
2007-07-08,11
2007-07-15,10
2007-07-22,10
2007-07-29,9
2007-08-05,9
2007-08-12,8
2007-08-19,8
2007-08-26,8
2007-09-02,9
2007-09-09,12
2007-09-16,26
2007-09-23,56
2007-09-30,55
2007-10-07,49
2007-10-14,46
2007-10-21,53
2007-10-28,59
2007-11-04,60
2007-11-11,52
2007-11-18,45
2007-11-25,49
2007-12-02,48
2007-12-09,47
2007-12-16,50
2007-12-23,47
2007-12-30,48
2008-01-06,67
2008-01-13,82
2008-01-20,109
2008-01-27,98
2008-02-03,109
2008-02-10,97
2008-02-17,136
2008-02-24,126
2008-03-02,128
2008-03-09,99
2008-03-16,85
2008-03-23,71
2008-03-30,78
2008-04-06,63
2008-04-13,49
2008-04-20,40
2008-04-27,33
2008-05-04,30
2008-05-11,26
2008-05-18,23
2008-05-25,21
2008-06-01,21
2008-06-08,19
2008-06-15,17
2008-06-22,15
2008-06-29,14
2008-07-06,12
2008-07-13,11
2008-07-20,11
2008-07-27,10
2008-08-03,9
2008-08-10,9
2008-08-17,8
2008-08-24,8
2008-08-31,8
2008-09-07,9
2008-09-14,21
2008-09-21,68
2008-09-28,65
2008-10-05,53
2008-10-12,46
2008-10-19,45
2008-10-26,43
2008-11-02,39
2008-11-09,36
2008-11-16,37
2008-11-23,43
2008-11-30,61
2008-12-07,71
2008-12-14,67
2008-12-21,71
2008-12-28,100
2009-01-04,120
2009-01-11,179
2009-01-18,357
2009-01-25,432
2009-02-01,347
2009-02-08,228
2009-02-15,143
2009-02-22,97
2009-03-01,94
2009-03-08,76
2009-03-15,66
2009-03-22,58
2009-03-29,46
2009-04-05,39
2009-04-12,33
2009-04-19,29
2009-04-26,157
2009-05-03,88
2009-05-10,50
2009-05-17,39
2009-05-24,30
2009-05-31,25
2009-06-07,22
2009-06-14,20
2009-06-21,19
2009-06-28,18
2009-07-05,18
2009-07-12,17
2009-07-19,16
2009-07-26,16
2009-08-02,17
2009-08-09,18
2009-08-16,18
2009-08-23,20
2009-08-30,21
2009-09-06,25
2009-09-13,48
2009-09-20,75
2009-09-27,68
2009-10-04,54
2009-10-11,50
2009-10-18,58
2009-10-25,79
2009-11-01,203
2009-11-08,251
2009-11-15,486
2009-11-22,410
2009-11-29,273
2009-12-06,194
2009-12-13,124
2009-12-20,83
2009-12-27,67
2010-01-03,59
2010-01-10,51
2010-01-17,44
2010-01-24,40
2010-01-31,36
2010-02-07,34
2010-02-14,35
2010-02-21,33
2010-02-28,31
2010-03-07,28
2010-03-14,27
2010-03-21,25
2010-03-28,22
2010-04-04,20
2010-04-11,18
2010-04-18,16
2010-04-25,14
2010-05-02,13
2010-05-09,13
2010-05-16,13
2010-05-23,12
2010-05-30,12
2010-06-06,12
2010-06-13,12
2010-06-20,11
2010-06-27,10
2010-07-04,9
2010-07-11,9
2010-07-18,8
2010-07-25,8
2010-08-01,7
2010-08-08,7
2010-08-15,7
2010-08-22,6
2010-08-29,6
2010-09-05,8
2010-09-12,14
2010-09-19,41
2010-09-26,44
2010-10-03,38
2010-10-10,34
2010-10-17,34
2010-10-24,34
2010-10-31,31
2010-11-07,29
2010-11-14,28
2010-11-21,27
2010-11-28,29
2010-12-05,32
2010-12-12,38
2010-12-19,42
2010-12-26,53
2011-01-02,97
2011-01-09,159
2011-01-16,187
2011-01-23,200
2011-01-30,186
2011-02-06,183
2011-02-13,126
2011-02-20,121
2011-02-27,120
2011-03-06,102
2011-03-13,74
2011-03-20,55
2011-03-27,42
2011-04-03,32
2011-04-10,27
2011-04-17,23
2011-04-24,21
2011-05-01,19
2011-05-08,17
2011-05-15,16
2011-05-22,14
2011-05-29,14
2011-06-05,12
2011-06-12,11
2011-06-19,10
2011-06-26,10
2011-07-03,9
2011-07-10,8
2011-07-17,8
2011-07-24,7
2011-07-31,7
2011-08-07,7
2011-08-14,7
2011-08-21,7
2011-08-28,6
2011-09-04,7
2011-09-11,8
2011-09-18,12
2011-09-25,25
2011-10-02,31
2011-10-09,30
2011-10-16,28
2011-10-23,27
2011-10-30,29
2011-11-06,28
2011-11-13,28
2011-11-20,27
2011-11-27,28
2011-12-04,29
2011-12-11,33
2011-12-18,32
2011-12-25,31
2012-01-01,31
2012-01-08,31
2012-01-15,34
2012-01-22,31
2012-01-29,32
2012-02-05,31
2012-02-12,34
2012-02-19,37
2012-02-26,35
2012-03-04,35
2012-03-11,39
2012-03-18,42
2012-03-25,38
2012-04-01,32
2012-04-08,29
2012-04-15,25
2012-04-22,24
2012-04-29,22
2012-05-06,19
2012-05-13,16
2012-05-20,15
2012-05-27,13
2012-06-03,12
2012-06-10,12
2012-06-17,11
2012-06-24,12
2012-07-01,11
2012-07-08,11
2012-07-15,10
2012-07-22,9
2012-07-29,9
2012-08-05,8
2012-08-12,8
2012-08-19,7
2012-08-26,7
2012-09-02,7
