Date,South Africa,Gauteng,Kwazulu-Natal,Western Cape
2006-01-15,1835,,,
2006-01-22,1866,2216,,
2006-01-29,1991,2081,,1733
2006-02-05,2169,2136,,1977
2006-02-12,1958,2047,,2038
2006-02-19,2380,2232,,2199
2006-02-26,2244,2368,,2246
2006-03-05,2179,2631,,2315
2006-03-12,2160,2361,,2098
2006-03-19,2199,2498,,2003
2006-03-26,2782,2367,,2459
2006-04-02,2312,2478,,2533
2006-04-09,2343,2419,,2539
2006-04-16,2241,2599,,2298
2006-04-23,2398,2975,,2206
2006-04-30,2573,3219,,2422
2006-05-07,3048,3025,,2844
2006-05-14,3212,3149,,2993
2006-05-21,3975,4036,,3528
2006-05-28,4159,4303,,3626
2006-06-04,4707,4822,,4042
2006-06-11,4619,4850,,4095
2006-06-18,3571,4098,,3763
2006-06-25,3344,3978,,3146
2006-07-02,4091,4203,,3500
2006-07-09,3623,3691,,3592
2006-07-16,3225,3203,,3298
2006-07-23,3205,2853,,3088
2006-07-30,2975,2608,,2868
2006-08-06,3130,2644,,2709
2006-08-13,3062,3458,,2838
2006-08-20,3002,2875,,2935
2006-08-27,2950,2625,,3205
2006-09-03,2798,2666,,3087
2006-09-10,3332,2967,,3165
2006-09-17,3072,3127,,3144
2006-09-24,2687,2961,,3005
2006-10-01,2390,2846,,2716
2006-10-08,2650,2714,,2405
2006-10-15,2596,2299,,2579
2006-10-22,2298,2258,,2713
2006-10-29,1857,2035,,2672
2006-11-05,2125,2077,,2266
2006-11-12,2256,2170,,2119
2006-11-19,2019,2132,,1948
2006-11-26,2376,2370,,1973
2006-12-03,2141,2292,,2016
2006-12-10,1928,2061,,1823
2006-12-17,1626,1741,,1761
2006-12-24,1786,1895,,1871
2006-12-31,2284,2007,,2030
2007-01-07,2046,2018,,2027
2007-01-14,1714,1698,,2245
2007-01-21,1844,1641,,2108
2007-01-28,1662,1684,,1799
2007-02-04,1797,1838,,1708
2007-02-11,2136,2106,,1709
2007-02-18,2414,2444,,1954
2007-02-25,1858,2106,,2131
2007-03-04,2002,2035,2169,2136
2007-03-11,2338,1975,2436,2137
2007-03-18,2198,1942,2430,2382
2007-03-25,2124,2071,2412,2394
2007-04-01,2220,2233,2408,2470
2007-04-08,2508,2509,2536,2355
2007-04-15,2221,2359,2437,2447
2007-04-22,1944,2110,2316,2095
2007-04-29,2628,2413,2299,2117
2007-05-06,2928,3021,2291,2742
2007-05-13,2821,2935,2384,2938
2007-05-20,2947,3072,2413,2909
2007-05-27,3481,3030,2582,3416
2007-06-03,3235,2989,2678,3879
2007-06-10,3367,3741,2584,3444
2007-06-17,2954,3031,2661,3431
2007-06-24,3329,3516,2979,3492
2007-07-01,3146,3097,3028,3466
2007-07-08,3580,3478,3158,3516
2007-07-15,3665,3611,3223,3179
2007-07-22,3743,3652,3080,3215
2007-07-29,3816,3966,3107,3426
2007-08-05,3889,4056,3656,3482
2007-08-12,4253,4182,4101,3923
2007-08-19,3900,3698,4087,3956
2007-08-26,3648,3823,4012,3471
2007-09-02,3293,3156,4084,3151
2007-09-09,3002,2999,3953,3142
2007-09-16,2896,2774,3570,3260
2007-09-23,2801,2539,3306,3259
2007-09-30,2291,2248,3062,2804
2007-10-07,2553,2632,2938,2511
2007-10-14,2251,2170,2770,2460
2007-10-21,2655,2516,2659,2525
2007-10-28,2343,2160,2531,2569
2007-11-04,2083,2110,2419,2229
2007-11-11,1968,1875,2284,2020
2007-11-18,1839,1712,2155,1838
2007-11-25,1755,1618,2202,1855
2007-12-02,2014,1674,2177,1901
2007-12-09,1838,1764,2289,1740
2007-12-16,1725,1746,2216,1744
2007-12-23,1944,1789,2219,1891
2007-12-30,1915,1929,2223,1929
2008-01-06,1630,1697,2203,1855
2008-01-13,1799,1828,2245,1773
2008-01-20,1777,1813,2113,1639
2008-01-27,1874,2112,2202,1477
2008-02-03,2044,2077,2264,1514
2008-02-10,2116,2146,2225,1685
2008-02-17,2362,2195,2360,1853
2008-02-24,2203,2133,2520,1856
2008-03-02,2161,2222,2283,1852
2008-03-09,2029,2144,2152,2127
2008-03-16,1973,1993,2182,2231
2008-03-23,2369,2358,2147,2271
2008-03-30,2428,2364,2365,2325
