Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2006-01-01,Australia,163,Nation,-24.7761086,134.755,Australian Capital Territory,0.0,State,-35.4883502,149.0026942,New South Wales,151,State,-31.8759835,147.2869493,Queensland,190,State,-22.1646782,144.5844903,South Australia,183,State,-30.5343665,135.6301212,Victoria,202,State,-36.5986096,144.6780052,Western Australia,121,State,-25.2303005,121.0187246
2006-01-08,Australia,174,Nation,-24.7761086,134.755,Australian Capital Territory,104.0,State,-35.4883502,149.0026942,New South Wales,170,State,-31.8759835,147.2869493,Queensland,189,State,-22.1646782,144.5844903,South Australia,162,State,-30.5343665,135.6301212,Victoria,169,State,-36.5986096,144.6780052,Western Australia,214,State,-25.2303005,121.0187246
2006-01-15,Australia,136,Nation,-24.7761086,134.755,Australian Capital Territory,96.0,State,-35.4883502,149.0026942,New South Wales,139,State,-31.8759835,147.2869493,Queensland,186,State,-22.1646782,144.5844903,South Australia,165,State,-30.5343665,135.6301212,Victoria,109,State,-36.5986096,144.6780052,Western Australia,135,State,-25.2303005,121.0187246
2006-01-22,Australia,121,Nation,-24.7761086,134.755,Australian Capital Territory,143.0,State,-35.4883502,149.0026942,New South Wales,119,State,-31.8759835,147.2869493,Queensland,142,State,-22.1646782,144.5844903,South Australia,107,State,-30.5343665,135.6301212,Victoria,129,State,-36.5986096,144.6780052,Western Australia,99,State,-25.2303005,121.0187246
2006-01-29,Australia,127,Nation,-24.7761086,134.755,Australian Capital Territory,149.0,State,-35.4883502,149.0026942,New South Wales,121,State,-31.8759835,147.2869493,Queensland,156,State,-22.1646782,144.5844903,South Australia,118,State,-30.5343665,135.6301212,Victoria,119,State,-36.5986096,144.6780052,Western Australia,77,State,-25.2303005,121.0187246
2006-02-05,Australia,164,Nation,-24.7761086,134.755,Australian Capital Territory,107.0,State,-35.4883502,149.0026942,New South Wales,194,State,-31.8759835,147.2869493,Queensland,170,State,-22.1646782,144.5844903,South Australia,137,State,-30.5343665,135.6301212,Victoria,148,State,-36.5986096,144.6780052,Western Australia,99,State,-25.2303005,121.0187246
2006-02-12,Australia,157,Nation,-24.7761086,134.755,Australian Capital Territory,168.0,State,-35.4883502,149.0026942,New South Wales,188,State,-31.8759835,147.2869493,Queensland,193,State,-22.1646782,144.5844903,South Australia,137,State,-30.5343665,135.6301212,Victoria,124,State,-36.5986096,144.6780052,Western Australia,139,State,-25.2303005,121.0187246
2006-02-19,Australia,197,Nation,-24.7761086,134.755,Australian Capital Territory,166.0,State,-35.4883502,149.0026942,New South Wales,217,State,-31.8759835,147.2869493,Queensland,228,State,-22.1646782,144.5844903,South Australia,174,State,-30.5343665,135.6301212,Victoria,235,State,-36.5986096,144.6780052,Western Australia,121,State,-25.2303005,121.0187246
2006-02-26,Australia,235,Nation,-24.7761086,134.755,Australian Capital Territory,423.0,State,-35.4883502,149.0026942,New South Wales,238,State,-31.8759835,147.2869493,Queensland,222,State,-22.1646782,144.5844903,South Australia,157,State,-30.5343665,135.6301212,Victoria,246,State,-36.5986096,144.6780052,Western Australia,134,State,-25.2303005,121.0187246
2006-03-05,Australia,278,Nation,-24.7761086,134.755,Australian Capital Territory,346.0,State,-35.4883502,149.0026942,New South Wales,294,State,-31.8759835,147.2869493,Queensland,386,State,-22.1646782,144.5844903,South Australia,212,State,-30.5343665,135.6301212,Victoria,252,State,-36.5986096,144.6780052,Western Australia,190,State,-25.2303005,121.0187246
2006-03-12,Australia,305,Nation,-24.7761086,134.755,Australian Capital Territory,377.0,State,-35.4883502,149.0026942,New South Wales,352,State,-31.8759835,147.2869493,Queensland,334,State,-22.1646782,144.5844903,South Australia,269,State,-30.5343665,135.6301212,Victoria,255,State,-36.5986096,144.6780052,Western Australia,281,State,-25.2303005,121.0187246
2006-03-19,Australia,261,Nation,-24.7761086,134.755,Australian Capital Territory,279.0,State,-35.4883502,149.0026942,New South Wales,334,State,-31.8759835,147.2869493,Queensland,231,State,-22.1646782,144.5844903,South Australia,275,State,-30.5343665,135.6301212,Victoria,189,State,-36.5986096,144.6780052,Western Australia,181,State,-25.2303005,121.0187246
2006-03-26,Australia,297,Nation,-24.7761086,134.755,Australian Capital Territory,206.0,State,-35.4883502,149.0026942,New South Wales,323,State,-31.8759835,147.2869493,Queensland,379,State,-22.1646782,144.5844903,South Australia,304,State,-30.5343665,135.6301212,Victoria,234,State,-36.5986096,144.6780052,Western Australia,171,State,-25.2303005,121.0187246
2006-04-02,Australia,356,Nation,-24.7761086,134.755,Australian Capital Territory,352.0,State,-35.4883502,149.0026942,New South Wales,417,State,-31.8759835,147.2869493,Queensland,319,State,-22.1646782,144.5844903,South Australia,349,State,-30.5343665,135.6301212,Victoria,317,State,-36.5986096,144.6780052,Western Australia,167,State,-25.2303005,121.0187246
2006-04-09,Australia,324,Nation,-24.7761086,134.755,Australian Capital Territory,356.0,State,-35.4883502,149.0026942,New South Wales,316,State,-31.8759835,147.2869493,Queensland,327,State,-22.1646782,144.5844903,South Australia,504,State,-30.5343665,135.6301212,Victoria,295,State,-36.5986096,144.6780052,Western Australia,266,State,-25.2303005,121.0187246
2006-04-16,Australia,281,Nation,-24.7761086,134.755,Australian Capital Territory,192.0,State,-35.4883502,149.0026942,New South Wales,290,State,-31.8759835,147.2869493,Queensland,261,State,-22.1646782,144.5844903,South Australia,296,State,-30.5343665,135.6301212,Victoria,268,State,-36.5986096,144.6780052,Western Australia,242,State,-25.2303005,121.0187246
2006-04-23,Australia,319,Nation,-24.7761086,134.755,Australian Capital Territory,278.0,State,-35.4883502,149.0026942,New South Wales,228,State,-31.8759835,147.2869493,Queensland,363,State,-22.1646782,144.5844903,South Australia,402,State,-30.5343665,135.6301212,Victoria,367,State,-36.5986096,144.6780052,Western Australia,317,State,-25.2303005,121.0187246
2006-04-30,Australia,367,Nation,-24.7761086,134.755,Australian Capital Territory,356.0,State,-35.4883502,149.0026942,New South Wales,284,State,-31.8759835,147.2869493,Queensland,408,State,-22.1646782,144.5844903,South Australia,228,State,-30.5343665,135.6301212,Victoria,352,State,-36.5986096,144.6780052,Western Australia,451,State,-25.2303005,121.0187246
2006-05-07,Australia,316,Nation,-24.7761086,134.755,Australian Capital Territory,523.0,State,-35.4883502,149.0026942,New South Wales,279,State,-31.8759835,147.2869493,Queensland,266,State,-22.1646782,144.5844903,South Australia,506,State,-30.5343665,135.6301212,Victoria,320,State,-36.5986096,144.6780052,Western Australia,309,State,-25.2303005,121.0187246
2006-05-14,Australia,382,Nation,-24.7761086,134.755,Australian Capital Territory,265.0,State,-35.4883502,149.0026942,New South Wales,323,State,-31.8759835,147.2869493,Queensland,331,State,-22.1646782,144.5844903,South Australia,581,State,-30.5343665,135.6301212,Victoria,441,State,-36.5986096,144.6780052,Western Australia,495,State,-25.2303005,121.0187246
