Date,Location,Results,Layer,Latitude,Longitude
2006-01-01,Australia,163.0,Nation,-24.7761086,134.755
2006-01-08,Australia,174.0,Nation,-24.7761086,134.755
2006-01-15,Australia,136.0,Nation,-24.7761086,134.755
2006-01-22,Australia,121.0,Nation,-24.7761086,134.755
2006-01-29,Australia,127.0,Nation,-24.7761086,134.755
2006-02-05,Australia,164.0,Nation,-24.7761086,134.755
2006-02-12,Australia,157.0,Nation,-24.7761086,134.755
2006-02-19,Australia,197.0,Nation,-24.7761086,134.755
2006-02-26,Australia,235.0,Nation,-24.7761086,134.755
2006-03-05,Australia,278.0,Nation,-24.7761086,134.755
2006-03-12,Australia,305.0,Nation,-24.7761086,134.755
2006-03-19,Australia,261.0,Nation,-24.7761086,134.755
2006-03-26,Australia,297.0,Nation,-24.7761086,134.755
2006-04-02,Australia,356.0,Nation,-24.7761086,134.755
2006-04-09,Australia,324.0,Nation,-24.7761086,134.755
2006-04-16,Australia,281.0,Nation,-24.7761086,134.755
2006-04-23,Australia,319.0,Nation,-24.7761086,134.755
2006-04-30,Australia,367.0,Nation,-24.7761086,134.755
2006-05-07,Australia,316.0,Nation,-24.7761086,134.755
2006-05-14,Australia,382.0,Nation,-24.7761086,134.755
2006-05-21,Australia,432.0,Nation,-24.7761086,134.755
2006-05-28,Australia,425.0,Nation,-24.7761086,134.755
2006-06-04,Australia,406.0,Nation,-24.7761086,134.755
2006-06-11,Australia,410.0,Nation,-24.7761086,134.755
2006-06-18,Australia,476.0,Nation,-24.7761086,134.755
2006-06-25,Australia,523.0,Nation,-24.7761086,134.755
2006-07-02,Australia,567.0,Nation,-24.7761086,134.755
2006-07-09,Australia,512.0,Nation,-24.7761086,134.755
2006-07-16,Australia,621.0,Nation,-24.7761086,134.755
2006-07-23,Australia,670.0,Nation,-24.7761086,134.755
2006-07-30,Australia,742.0,Nation,-24.7761086,134.755
2006-08-06,Australia,765.0,Nation,-24.7761086,134.755
2006-08-13,Australia,796.0,Nation,-24.7761086,134.755
2006-08-20,Australia,704.0,Nation,-24.7761086,134.755
2006-08-27,Australia,749.0,Nation,-24.7761086,134.755
2006-09-03,Australia,570.0,Nation,-24.7761086,134.755
2006-09-10,Australia,507.0,Nation,-24.7761086,134.755
2006-09-17,Australia,457.0,Nation,-24.7761086,134.755
2006-09-24,Australia,356.0,Nation,-24.7761086,134.755
2006-10-01,Australia,274.0,Nation,-24.7761086,134.755
2006-10-08,Australia,281.0,Nation,-24.7761086,134.755
2006-10-15,Australia,253.0,Nation,-24.7761086,134.755
2006-10-22,Australia,219.0,Nation,-24.7761086,134.755
