Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2003-09-28,Canada,1280,Nation,61.0666922,-107.9917071,Alberta,0.0,State,55.001251,-115.002136,British Columbia,1353,State,55.001251,-125.002441,Manitoba,0.0,State,55.001251,-97.001038,New Brunswick,0.0,State,46.500283,-66.750183,Newfoundland and Labrador,0.0,State,53.8217327,-61.2295532,Nova Scotia,0.0,State,45.1960403,-63.1653789,Ontario,1349,State,50.000678,-86.000977,Saskatchewan,0.0,State,55.5321257,-106.1412243,Quebec,960,State,52.4760892,-71.8258668
2003-10-05,Canada,1339,Nation,61.0666922,-107.9917071,Alberta,2309.0,State,55.001251,-115.002136,British Columbia,1161,State,55.001251,-125.002441,Manitoba,1977.0,State,55.001251,-97.001038,New Brunswick,0.0,State,46.500283,-66.750183,Newfoundland and Labrador,0.0,State,53.8217327,-61.2295532,Nova Scotia,0.0,State,45.1960403,-63.1653789,Ontario,1323,State,50.000678,-86.000977,Saskatchewan,0.0,State,55.5321257,-106.1412243,Quebec,1278,State,52.4760892,-71.8258668
2003-10-12,Canada,1451,Nation,61.0666922,-107.9917071,Alberta,2615.0,State,55.001251,-115.002136,British Columbia,1546,State,55.001251,-125.002441,Manitoba,2313.0,State,55.001251,-97.001038,New Brunswick,0.0,State,46.500283,-66.750183,Newfoundland and Labrador,0.0,State,53.8217327,-61.2295532,Nova Scotia,0.0,State,45.1960403,-63.1653789,Ontario,1119,State,50.000678,-86.000977,Saskatchewan,0.0,State,55.5321257,-106.1412243,Quebec,1344,State,52.4760892,-71.8258668
2003-10-19,Canada,1593,Nation,61.0666922,-107.9917071,Alberta,2910.0,State,55.001251,-115.002136,British Columbia,1813,State,55.001251,-125.002441,Manitoba,1958.0,State,55.001251,-97.001038,New Brunswick,0.0,State,46.500283,-66.750183,Newfoundland and Labrador,0.0,State,53.8217327,-61.2295532,Nova Scotia,1805.0,State,45.1960403,-63.1653789,Ontario,1213,State,50.000678,-86.000977,Saskatchewan,0.0,State,55.5321257,-106.1412243,Quebec,1377,State,52.4760892,-71.8258668
2003-10-26,Canada,1895,Nation,61.0666922,-107.9917071,Alberta,4793.0,State,55.001251,-115.002136,British Columbia,1883,State,55.001251,-125.002441,Manitoba,1560.0,State,55.001251,-97.001038,New Brunswick,1600.0,State,46.500283,-66.750183,Newfoundland and Labrador,0.0,State,53.8217327,-61.2295532,Nova Scotia,1955.0,State,45.1960403,-63.1653789,Ontario,1492,State,50.000678,-86.000977,Saskatchewan,3076.0,State,55.5321257,-106.1412243,Quebec,1138,State,52.4760892,-71.8258668
2003-11-02,Canada,1995,Nation,61.0666922,-107.9917071,Alberta,4046.0,State,55.001251,-115.002136,British Columbia,2341,State,55.001251,-125.002441,Manitoba,3915.0,State,55.001251,-97.001038,New Brunswick,1602.0,State,46.500283,-66.750183,Newfoundland and Labrador,0.0,State,53.8217327,-61.2295532,Nova Scotia,1819.0,State,45.1960403,-63.1653789,Ontario,1515,State,50.000678,-86.000977,Saskatchewan,5124.0,State,55.5321257,-106.1412243,Quebec,1318,State,52.4760892,-71.8258668
2003-11-09,Canada,2335,Nation,61.0666922,-107.9917071,Alberta,4561.0,State,55.001251,-115.002136,British Columbia,2933,State,55.001251,-125.002441,Manitoba,3332.0,State,55.001251,-97.001038,New Brunswick,1659.0,State,46.500283,-66.750183,Newfoundland and Labrador,2280.0,State,53.8217327,-61.2295532,Nova Scotia,2157.0,State,45.1960403,-63.1653789,Ontario,1675,State,50.000678,-86.000977,Saskatchewan,5106.0,State,55.5321257,-106.1412243,Quebec,1676,State,52.4760892,-71.8258668
2003-11-16,Canada,2731,Nation,61.0666922,-107.9917071,Alberta,5153.0,State,55.001251,-115.002136,British Columbia,4054,State,55.001251,-125.002441,Manitoba,5457.0,State,55.001251,-97.001038,New Brunswick,1726.0,State,46.500283,-66.750183,Newfoundland and Labrador,2126.0,State,53.8217327,-61.2295532,Nova Scotia,2789.0,State,45.1960403,-63.1653789,Ontario,2616,State,50.000678,-86.000977,Saskatchewan,4186.0,State,55.5321257,-106.1412243,Quebec,1595,State,52.4760892,-71.8258668
2003-11-23,Canada,3138,Nation,61.0666922,-107.9917071,Alberta,4990.0,State,55.001251,-115.002136,British Columbia,4492,State,55.001251,-125.002441,Manitoba,6033.0,State,55.001251,-97.001038,New Brunswick,2587.0,State,46.500283,-66.750183,Newfoundland and Labrador,2247.0,State,53.8217327,-61.2295532,Nova Scotia,3173.0,State,45.1960403,-63.1653789,Ontario,3346,State,50.000678,-86.000977,Saskatchewan,4086.0,State,55.5321257,-106.1412243,Quebec,1936,State,52.4760892,-71.8258668
2003-11-30,Canada,4229,Nation,61.0666922,-107.9917071,Alberta,4396.0,State,55.001251,-115.002136,British Columbia,6261,State,55.001251,-125.002441,Manitoba,5861.0,State,55.001251,-97.001038,New Brunswick,3921.0,State,46.500283,-66.750183,Newfoundland and Labrador,2198.0,State,53.8217327,-61.2295532,Nova Scotia,5128.0,State,45.1960403,-63.1653789,Ontario,5161,State,50.000678,-86.000977,Saskatchewan,3710.0,State,55.5321257,-106.1412243,Quebec,2148,State,52.4760892,-71.8258668
2003-12-07,Canada,5303,Nation,61.0666922,-107.9917071,Alberta,3784.0,State,55.001251,-115.002136,British Columbia,6341,State,55.001251,-125.002441,Manitoba,4743.0,State,55.001251,-97.001038,New Brunswick,8645.0,State,46.500283,-66.750183,Newfoundland and Labrador,2058.0,State,53.8217327,-61.2295532,Nova Scotia,5978.0,State,45.1960403,-63.1653789,Ontario,7114,State,50.000678,-86.000977,Saskatchewan,3075.0,State,55.5321257,-106.1412243,Quebec,2882,State,52.4760892,-71.8258668
2003-12-14,Canada,7531,Nation,61.0666922,-107.9917071,Alberta,4575.0,State,55.001251,-115.002136,British Columbia,8200,State,55.001251,-125.002441,Manitoba,4523.0,State,55.001251,-97.001038,New Brunswick,7865.0,State,46.500283,-66.750183,Newfoundland and Labrador,2408.0,State,53.8217327,-61.2295532,Nova Scotia,6233.0,State,45.1960403,-63.1653789,Ontario,10278,State,50.000678,-86.000977,Saskatchewan,3691.0,State,55.5321257,-106.1412243,Quebec,3380,State,52.4760892,-71.8258668
2003-12-21,Canada,7014,Nation,61.0666922,-107.9917071,Alberta,5033.0,State,55.001251,-115.002136,British Columbia,6185,State,55.001251,-125.002441,Manitoba,4878.0,State,55.001251,-97.001038,New Brunswick,8943.0,State,46.500283,-66.750183,Newfoundland and Labrador,2557.0,State,53.8217327,-61.2295532,Nova Scotia,8247.0,State,45.1960403,-63.1653789,Ontario,9802,State,50.000678,-86.000977,Saskatchewan,4107.0,State,55.5321257,-106.1412243,Quebec,3599,State,52.4760892,-71.8258668
2003-12-28,Canada,4950,Nation,61.0666922,-107.9917071,Alberta,3750.0,State,55.001251,-115.002136,British Columbia,3906,State,55.001251,-125.002441,Manitoba,3410.0,State,55.001251,-97.001038,New Brunswick,7092.0,State,46.500283,-66.750183,Newfoundland and Labrador,9738.0,State,53.8217327,-61.2295532,Nova Scotia,7480.0,State,45.1960403,-63.1653789,Ontario,6056,State,50.000678,-86.000977,Saskatchewan,4257.0,State,55.5321257,-106.1412243,Quebec,3157,State,52.4760892,-71.8258668
2004-01-04,Canada,3649,Nation,61.0666922,-107.9917071,Alberta,3751.0,State,55.001251,-115.002136,British Columbia,3252,State,55.001251,-125.002441,Manitoba,2987.0,State,55.001251,-97.001038,New Brunswick,9049.0,State,46.500283,-66.750183,Newfoundland and Labrador,10215.0,State,53.8217327,-61.2295532,Nova Scotia,6616.0,State,45.1960403,-63.1653789,Ontario,3782,State,50.000678,-86.000977,Saskatchewan,2886.0,State,55.5321257,-106.1412243,Quebec,2439,State,52.4760892,-71.8258668
2004-01-11,Canada,2866,Nation,61.0666922,-107.9917071,Alberta,2239.0,State,55.001251,-115.002136,British Columbia,2421,State,55.001251,-125.002441,Manitoba,2836.0,State,55.001251,-97.001038,New Brunswick,4629.0,State,46.500283,-66.750183,Newfoundland and Labrador,7068.0,State,53.8217327,-61.2295532,Nova Scotia,4969.0,State,45.1960403,-63.1653789,Ontario,2911,State,50.000678,-86.000977,Saskatchewan,2715.0,State,55.5321257,-106.1412243,Quebec,2410,State,52.4760892,-71.8258668
2004-01-18,Canada,2230,Nation,61.0666922,-107.9917071,Alberta,2575.0,State,55.001251,-115.002136,British Columbia,1814,State,55.001251,-125.002441,Manitoba,2767.0,State,55.001251,-97.001038,New Brunswick,3541.0,State,46.500283,-66.750183,Newfoundland and Labrador,5875.0,State,53.8217327,-61.2295532,Nova Scotia,4107.0,State,45.1960403,-63.1653789,Ontario,2190,State,50.000678,-86.000977,Saskatchewan,2031.0,State,55.5321257,-106.1412243,Quebec,2127,State,52.4760892,-71.8258668
2004-01-25,Canada,2155,Nation,61.0666922,-107.9917071,Alberta,1811.0,State,55.001251,-115.002136,British Columbia,1381,State,55.001251,-125.002441,Manitoba,2225.0,State,55.001251,-97.001038,New Brunswick,3238.0,State,46.500283,-66.750183,Newfoundland and Labrador,4485.0,State,53.8217327,-61.2295532,Nova Scotia,3126.0,State,45.1960403,-63.1653789,Ontario,2065,State,50.000678,-86.000977,Saskatchewan,1692.0,State,55.5321257,-106.1412243,Quebec,2833,State,52.4760892,-71.8258668
