Date,Location,Results,Layer,Latitude,Longitude
2003-09-28,Canada,1280.0,Nation,61.0666922,-107.9917071
2003-10-05,Canada,1339.0,Nation,61.0666922,-107.9917071
2003-10-12,Canada,1451.0,Nation,61.0666922,-107.9917071
2003-10-19,Canada,1593.0,Nation,61.0666922,-107.9917071
2003-10-26,Canada,1895.0,Nation,61.0666922,-107.9917071
2003-11-02,Canada,1995.0,Nation,61.0666922,-107.9917071
2003-11-09,Canada,2335.0,Nation,61.0666922,-107.9917071
2003-11-16,Canada,2731.0,Nation,61.0666922,-107.9917071
2003-11-23,Canada,3138.0,Nation,61.0666922,-107.9917071
2003-11-30,Canada,4229.0,Nation,61.0666922,-107.9917071
2003-12-07,Canada,5303.0,Nation,61.0666922,-107.9917071
2003-12-14,Canada,7531.0,Nation,61.0666922,-107.9917071
2003-12-21,Canada,7014.0,Nation,61.0666922,-107.9917071
2003-12-28,Canada,4950.0,Nation,61.0666922,-107.9917071
2004-01-04,Canada,3649.0,Nation,61.0666922,-107.9917071
2004-01-11,Canada,2866.0,Nation,61.0666922,-107.9917071
2004-01-18,Canada,2230.0,Nation,61.0666922,-107.9917071
2004-01-25,Canada,2155.0,Nation,61.0666922,-107.9917071
2004-02-01,Canada,1699.0,Nation,61.0666922,-107.9917071
2004-02-08,Canada,1649.0,Nation,61.0666922,-107.9917071
2004-02-15,Canada,1700.0,Nation,61.0666922,-107.9917071
2004-02-22,Canada,1580.0,Nation,61.0666922,-107.9917071
2004-02-29,Canada,1427.0,Nation,61.0666922,-107.9917071
2004-03-07,Canada,1409.0,Nation,61.0666922,-107.9917071
2004-03-14,Canada,1404.0,Nation,61.0666922,-107.9917071
2004-03-21,Canada,1424.0,Nation,61.0666922,-107.9917071
2004-03-28,Canada,1111.0,Nation,61.0666922,-107.9917071
2004-04-04,Canada,1178.0,Nation,61.0666922,-107.9917071
2004-04-11,Canada,1425.0,Nation,61.0666922,-107.9917071
2004-04-18,Canada,1163.0,Nation,61.0666922,-107.9917071
2004-04-25,Canada,1043.0,Nation,61.0666922,-107.9917071
2004-05-02,Canada,786.0,Nation,61.0666922,-107.9917071
2004-05-09,Canada,895.0,Nation,61.0666922,-107.9917071
2004-05-16,Canada,684.0,Nation,61.0666922,-107.9917071
2004-05-23,Canada,743.0,Nation,61.0666922,-107.9917071
2004-05-30,Canada,1041.0,Nation,61.0666922,-107.9917071
2004-06-06,Canada,792.0,Nation,61.0666922,-107.9917071
2004-06-13,Canada,819.0,Nation,61.0666922,-107.9917071
2004-06-20,Canada,755.0,Nation,61.0666922,-107.9917071
2004-06-27,Canada,711.0,Nation,61.0666922,-107.9917071
2004-07-04,Canada,752.0,Nation,61.0666922,-107.9917071
2004-07-11,Canada,663.0,Nation,61.0666922,-107.9917071
2004-07-18,Canada,699.0,Nation,61.0666922,-107.9917071
2004-07-25,Canada,528.0,Nation,61.0666922,-107.9917071
2004-08-01,Canada,631.0,Nation,61.0666922,-107.9917071
2004-08-08,Canada,651.0,Nation,61.0666922,-107.9917071
2004-08-15,Canada,810.0,Nation,61.0666922,-107.9917071
2004-08-22,Canada,671.0,Nation,61.0666922,-107.9917071
2004-08-29,Canada,755.0,Nation,61.0666922,-107.9917071
2004-09-05,Canada,1014.0,Nation,61.0666922,-107.9917071
2004-09-12,Canada,1042.0,Nation,61.0666922,-107.9917071
2004-09-19,Canada,1407.0,Nation,61.0666922,-107.9917071
2004-09-26,Canada,1656.0,Nation,61.0666922,-107.9917071
2004-10-03,Canada,1544.0,Nation,61.0666922,-107.9917071
2004-10-10,Canada,1675.0,Nation,61.0666922,-107.9917071
2004-10-17,Canada,1924.0,Nation,61.0666922,-107.9917071
2004-10-24,Canada,2014.0,Nation,61.0666922,-107.9917071
2004-10-31,Canada,2207.0,Nation,61.0666922,-107.9917071
2004-11-07,Canada,2245.0,Nation,61.0666922,-107.9917071
2004-11-14,Canada,2237.0,Nation,61.0666922,-107.9917071
2004-11-21,Canada,2156.0,Nation,61.0666922,-107.9917071
2004-11-28,Canada,2345.0,Nation,61.0666922,-107.9917071
2004-12-05,Canada,2457.0,Nation,61.0666922,-107.9917071
2004-12-12,Canada,2722.0,Nation,61.0666922,-107.9917071
2004-12-19,Canada,3099.0,Nation,61.0666922,-107.9917071
2004-12-26,Canada,3586.0,Nation,61.0666922,-107.9917071
2005-01-02,Canada,3761.0,Nation,61.0666922,-107.9917071
2005-01-09,Canada,3120.0,Nation,61.0666922,-107.9917071
2005-01-16,Canada,3123.0,Nation,61.0666922,-107.9917071
2005-01-23,Canada,3276.0,Nation,61.0666922,-107.9917071
2005-01-30,Canada,3392.0,Nation,61.0666922,-107.9917071
2005-02-06,Canada,3526.0,Nation,61.0666922,-107.9917071
2005-02-13,Canada,3274.0,Nation,61.0666922,-107.9917071
2005-02-20,Canada,3658.0,Nation,61.0666922,-107.9917071
2005-02-27,Canada,3527.0,Nation,61.0666922,-107.9917071
2005-03-06,Canada,2927.0,Nation,61.0666922,-107.9917071
2005-03-13,Canada,2786.0,Nation,61.0666922,-107.9917071
2005-03-20,Canada,2438.0,Nation,61.0666922,-107.9917071
2005-03-27,Canada,2370.0,Nation,61.0666922,-107.9917071
2005-04-03,Canada,2036.0,Nation,61.0666922,-107.9917071
2005-04-10,Canada,1715.0,Nation,61.0666922,-107.9917071
2005-04-17,Canada,1509.0,Nation,61.0666922,-107.9917071
2005-04-24,Canada,1509.0,Nation,61.0666922,-107.9917071
2005-05-01,Canada,1451.0,Nation,61.0666922,-107.9917071
2005-05-08,Canada,1524.0,Nation,61.0666922,-107.9917071
2005-05-15,Canada,1262.0,Nation,61.0666922,-107.9917071
2005-05-22,Canada,1182.0,Nation,61.0666922,-107.9917071
2005-05-29,Canada,1110.0,Nation,61.0666922,-107.9917071
2005-06-05,Canada,878.0,Nation,61.0666922,-107.9917071
2005-06-12,Canada,777.0,Nation,61.0666922,-107.9917071
2005-06-19,Canada,944.0,Nation,61.0666922,-107.9917071
2005-06-26,Canada,748.0,Nation,61.0666922,-107.9917071
2005-07-03,Canada,892.0,Nation,61.0666922,-107.9917071
2005-07-10,Canada,812.0,Nation,61.0666922,-107.9917071
2005-07-17,Canada,639.0,Nation,61.0666922,-107.9917071
2005-07-24,Canada,732.0,Nation,61.0666922,-107.9917071
2005-07-31,Canada,705.0,Nation,61.0666922,-107.9917071
2005-08-07,Canada,745.0,Nation,61.0666922,-107.9917071
2005-08-14,Canada,665.0,Nation,61.0666922,-107.9917071
2005-08-21,Canada,835.0,Nation,61.0666922,-107.9917071
2005-08-28,Canada,936.0,Nation,61.0666922,-107.9917071
2005-09-04,Canada,1050.0,Nation,61.0666922,-107.9917071
2005-09-11,Canada,1169.0,Nation,61.0666922,-107.9917071
2005-09-18,Canada,1424.0,Nation,61.0666922,-107.9917071
2005-09-25,Canada,1642.0,Nation,61.0666922,-107.9917071
2005-10-02,Canada,1758.0,Nation,61.0666922,-107.9917071
2005-10-09,Canada,1786.0,Nation,61.0666922,-107.9917071
2005-10-16,Canada,2048.0,Nation,61.0666922,-107.9917071
2005-10-23,Canada,2054.0,Nation,61.0666922,-107.9917071
2005-10-30,Canada,2305.0,Nation,61.0666922,-107.9917071
2005-11-06,Canada,2131.0,Nation,61.0666922,-107.9917071
2005-11-13,Canada,2433.0,Nation,61.0666922,-107.9917071
2005-11-20,Canada,2387.0,Nation,61.0666922,-107.9917071
2005-11-27,Canada,2134.0,Nation,61.0666922,-107.9917071
2005-12-04,Canada,2256.0,Nation,61.0666922,-107.9917071
2005-12-11,Canada,2321.0,Nation,61.0666922,-107.9917071
2005-12-18,Canada,2480.0,Nation,61.0666922,-107.9917071
2005-12-25,Canada,2697.0,Nation,61.0666922,-107.9917071
2006-01-01,Canada,2915.0,Nation,61.0666922,-107.9917071
2006-01-08,Canada,2356.0,Nation,61.0666922,-107.9917071
2006-01-15,Canada,2223.0,Nation,61.0666922,-107.9917071
2006-01-22,Canada,2295.0,Nation,61.0666922,-107.9917071
2006-01-29,Canada,2401.0,Nation,61.0666922,-107.9917071
2006-02-05,Canada,2587.0,Nation,61.0666922,-107.9917071
2006-02-12,Canada,2503.0,Nation,61.0666922,-107.9917071
2006-02-19,Canada,2793.0,Nation,61.0666922,-107.9917071
2006-02-26,Canada,3310.0,Nation,61.0666922,-107.9917071
2006-03-05,Canada,3533.0,Nation,61.0666922,-107.9917071
2006-03-12,Canada,2843.0,Nation,61.0666922,-107.9917071
2006-03-19,Canada,2752.0,Nation,61.0666922,-107.9917071
2006-03-26,Canada,2326.0,Nation,61.0666922,-107.9917071
2006-04-02,Canada,2169.0,Nation,61.0666922,-107.9917071
2006-04-09,Canada,1854.0,Nation,61.0666922,-107.9917071
2006-04-16,Canada,1769.0,Nation,61.0666922,-107.9917071
2006-04-23,Canada,1632.0,Nation,61.0666922,-107.9917071
2006-04-30,Canada,1445.0,Nation,61.0666922,-107.9917071
2006-05-07,Canada,1276.0,Nation,61.0666922,-107.9917071
2006-05-14,Canada,1173.0,Nation,61.0666922,-107.9917071
2006-05-21,Canada,1172.0,Nation,61.0666922,-107.9917071
2006-05-28,Canada,1078.0,Nation,61.0666922,-107.9917071
2006-06-04,Canada,940.0,Nation,61.0666922,-107.9917071
2006-06-11,Canada,951.0,Nation,61.0666922,-107.9917071
2006-06-18,Canada,858.0,Nation,61.0666922,-107.9917071
2006-06-25,Canada,752.0,Nation,61.0666922,-107.9917071
2006-07-02,Canada,785.0,Nation,61.0666922,-107.9917071
2006-07-09,Canada,786.0,Nation,61.0666922,-107.9917071
2006-07-16,Canada,724.0,Nation,61.0666922,-107.9917071
2006-07-23,Canada,707.0,Nation,61.0666922,-107.9917071
2006-07-30,Canada,744.0,Nation,61.0666922,-107.9917071
2006-08-06,Canada,736.0,Nation,61.0666922,-107.9917071
2006-08-13,Canada,774.0,Nation,61.0666922,-107.9917071
2006-08-20,Canada,752.0,Nation,61.0666922,-107.9917071
2006-08-27,Canada,801.0,Nation,61.0666922,-107.9917071
2006-09-03,Canada,931.0,Nation,61.0666922,-107.9917071
