Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2003-09-28,Mexico,683,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,864,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,811,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-10-05,Mexico,707,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,927,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,829,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-10-12,Mexico,800,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,990,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,938,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-10-19,Mexico,858,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1016,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,862,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-10-26,Mexico,755,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,945,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,838,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-11-02,Mexico,843,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,887,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,818,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-11-09,Mexico,957,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,878,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,858,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-11-16,Mexico,894,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,868,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,895,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-11-23,Mexico,880,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,821,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,873,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-11-30,Mexico,979,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,914,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,881,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
