Date,Location,Results,Layer,Latitude,Longitude
2003-09-28,Mexico,683.0,Nation,19.4326296,-99.1331785
2003-10-05,Mexico,707.0,Nation,19.4326296,-99.1331785
2003-10-12,Mexico,800.0,Nation,19.4326296,-99.1331785
2003-10-19,Mexico,858.0,Nation,19.4326296,-99.1331785
2003-10-26,Mexico,755.0,Nation,19.4326296,-99.1331785
2003-11-02,Mexico,843.0,Nation,19.4326296,-99.1331785
2003-11-09,Mexico,957.0,Nation,19.4326296,-99.1331785
2003-11-16,Mexico,894.0,Nation,19.4326296,-99.1331785
2003-11-23,Mexico,880.0,Nation,19.4326296,-99.1331785
2003-11-30,Mexico,979.0,Nation,19.4326296,-99.1331785
2003-12-07,Mexico,1025.0,Nation,19.4326296,-99.1331785
2003-12-14,Mexico,1242.0,Nation,19.4326296,-99.1331785
2003-12-21,Mexico,1346.0,Nation,19.4326296,-99.1331785
2003-12-28,Mexico,1264.0,Nation,19.4326296,-99.1331785
2004-01-04,Mexico,1108.0,Nation,19.4326296,-99.1331785
2004-01-11,Mexico,1026.0,Nation,19.4326296,-99.1331785
2004-01-18,Mexico,977.0,Nation,19.4326296,-99.1331785
2004-01-25,Mexico,976.0,Nation,19.4326296,-99.1331785
2004-02-01,Mexico,932.0,Nation,19.4326296,-99.1331785
2004-02-08,Mexico,939.0,Nation,19.4326296,-99.1331785
2004-02-15,Mexico,913.0,Nation,19.4326296,-99.1331785
2004-02-22,Mexico,974.0,Nation,19.4326296,-99.1331785
2004-02-29,Mexico,944.0,Nation,19.4326296,-99.1331785
2004-03-07,Mexico,1040.0,Nation,19.4326296,-99.1331785
2004-03-14,Mexico,1028.0,Nation,19.4326296,-99.1331785
2004-03-21,Mexico,1021.0,Nation,19.4326296,-99.1331785
2004-03-28,Mexico,880.0,Nation,19.4326296,-99.1331785
2004-04-04,Mexico,871.0,Nation,19.4326296,-99.1331785
2004-04-11,Mexico,908.0,Nation,19.4326296,-99.1331785
2004-04-18,Mexico,838.0,Nation,19.4326296,-99.1331785
