Date,Location,Results,Layer,Latitude,Longitude
2006-01-01,New Zealand,17.0,Nation,-41.5000831,172.8344077
2006-01-08,New Zealand,10.0,Nation,-41.5000831,172.8344077
2006-01-15,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-01-22,New Zealand,8.0,Nation,-41.5000831,172.8344077
2006-01-29,New Zealand,8.0,Nation,-41.5000831,172.8344077
2006-02-05,New Zealand,9.0,Nation,-41.5000831,172.8344077
2006-02-12,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-02-19,New Zealand,9.0,Nation,-41.5000831,172.8344077
2006-02-26,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-03-05,New Zealand,20.0,Nation,-41.5000831,172.8344077
2006-03-12,New Zealand,14.0,Nation,-41.5000831,172.8344077
2006-03-19,New Zealand,16.0,Nation,-41.5000831,172.8344077
2006-03-26,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-04-02,New Zealand,18.0,Nation,-41.5000831,172.8344077
2006-04-09,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-04-16,New Zealand,16.0,Nation,-41.5000831,172.8344077
2006-04-23,New Zealand,14.0,Nation,-41.5000831,172.8344077
2006-04-30,New Zealand,19.0,Nation,-41.5000831,172.8344077
2006-05-07,New Zealand,16.0,Nation,-41.5000831,172.8344077
2006-05-14,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-05-21,New Zealand,31.0,Nation,-41.5000831,172.8344077
2006-05-28,New Zealand,26.0,Nation,-41.5000831,172.8344077
2006-06-04,New Zealand,36.0,Nation,-41.5000831,172.8344077
2006-06-11,New Zealand,28.0,Nation,-41.5000831,172.8344077
2006-06-18,New Zealand,47.0,Nation,-41.5000831,172.8344077
2006-06-25,New Zealand,80.0,Nation,-41.5000831,172.8344077
2006-07-02,New Zealand,102.0,Nation,-41.5000831,172.8344077
2006-07-09,New Zealand,83.0,Nation,-41.5000831,172.8344077
2006-07-16,New Zealand,55.0,Nation,-41.5000831,172.8344077
2006-07-23,New Zealand,68.0,Nation,-41.5000831,172.8344077
2006-07-30,New Zealand,73.0,Nation,-41.5000831,172.8344077
2006-08-06,New Zealand,59.0,Nation,-41.5000831,172.8344077
2006-08-13,New Zealand,60.0,Nation,-41.5000831,172.8344077
2006-08-20,New Zealand,58.0,Nation,-41.5000831,172.8344077
2006-08-27,New Zealand,54.0,Nation,-41.5000831,172.8344077
2006-09-03,New Zealand,52.0,Nation,-41.5000831,172.8344077
2006-09-10,New Zealand,44.0,Nation,-41.5000831,172.8344077
2006-09-17,New Zealand,35.0,Nation,-41.5000831,172.8344077
2006-09-24,New Zealand,37.0,Nation,-41.5000831,172.8344077
2006-10-01,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-10-08,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-10-15,New Zealand,12.0,Nation,-41.5000831,172.8344077
2006-10-22,New Zealand,14.0,Nation,-41.5000831,172.8344077
2006-10-29,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-11-05,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-11-12,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-11-19,New Zealand,15.0,Nation,-41.5000831,172.8344077
2006-11-26,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-12-03,New Zealand,9.0,Nation,-41.5000831,172.8344077
2006-12-10,New Zealand,6.0,Nation,-41.5000831,172.8344077
2006-12-17,New Zealand,7.0,Nation,-41.5000831,172.8344077
2006-12-24,New Zealand,15.0,Nation,-41.5000831,172.8344077
2006-12-31,New Zealand,12.0,Nation,-41.5000831,172.8344077
2007-01-07,New Zealand,6.0,Nation,-41.5000831,172.8344077
2007-01-14,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-01-21,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-01-28,New Zealand,3.0,Nation,-41.5000831,172.8344077
2007-02-04,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-02-11,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-02-18,New Zealand,6.0,Nation,-41.5000831,172.8344077
2007-02-25,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-03-04,New Zealand,8.0,Nation,-41.5000831,172.8344077
2007-03-11,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-03-18,New Zealand,8.0,Nation,-41.5000831,172.8344077
2007-03-25,New Zealand,9.0,Nation,-41.5000831,172.8344077
2007-04-01,New Zealand,13.0,Nation,-41.5000831,172.8344077
2007-04-08,New Zealand,13.0,Nation,-41.5000831,172.8344077
2007-04-15,New Zealand,12.0,Nation,-41.5000831,172.8344077
2007-04-22,New Zealand,20.0,Nation,-41.5000831,172.8344077
2007-04-29,New Zealand,19.0,Nation,-41.5000831,172.8344077
2007-05-06,New Zealand,13.0,Nation,-41.5000831,172.8344077
2007-05-13,New Zealand,32.0,Nation,-41.5000831,172.8344077
2007-05-20,New Zealand,17.0,Nation,-41.5000831,172.8344077
2007-05-27,New Zealand,31.0,Nation,-41.5000831,172.8344077
2007-06-03,New Zealand,32.0,Nation,-41.5000831,172.8344077
2007-06-10,New Zealand,29.0,Nation,-41.5000831,172.8344077
2007-06-17,New Zealand,47.0,Nation,-41.5000831,172.8344077
2007-06-24,New Zealand,41.0,Nation,-41.5000831,172.8344077
2007-07-01,New Zealand,57.0,Nation,-41.5000831,172.8344077
2007-07-08,New Zealand,62.0,Nation,-41.5000831,172.8344077
2007-07-15,New Zealand,76.0,Nation,-41.5000831,172.8344077
2007-07-22,New Zealand,75.0,Nation,-41.5000831,172.8344077
2007-07-29,New Zealand,74.0,Nation,-41.5000831,172.8344077
2007-08-05,New Zealand,72.0,Nation,-41.5000831,172.8344077
2007-08-12,New Zealand,87.0,Nation,-41.5000831,172.8344077
2007-08-19,New Zealand,72.0,Nation,-41.5000831,172.8344077
2007-08-26,New Zealand,73.0,Nation,-41.5000831,172.8344077
2007-09-02,New Zealand,62.0,Nation,-41.5000831,172.8344077
2007-09-09,New Zealand,53.0,Nation,-41.5000831,172.8344077
2007-09-16,New Zealand,45.0,Nation,-41.5000831,172.8344077
2007-09-23,New Zealand,32.0,Nation,-41.5000831,172.8344077
2007-09-30,New Zealand,19.0,Nation,-41.5000831,172.8344077
2007-10-07,New Zealand,23.0,Nation,-41.5000831,172.8344077
2007-10-14,New Zealand,22.0,Nation,-41.5000831,172.8344077
2007-10-21,New Zealand,14.0,Nation,-41.5000831,172.8344077
2007-10-28,New Zealand,15.0,Nation,-41.5000831,172.8344077
2007-11-04,New Zealand,11.0,Nation,-41.5000831,172.8344077
2007-11-11,New Zealand,11.0,Nation,-41.5000831,172.8344077
2007-11-18,New Zealand,9.0,Nation,-41.5000831,172.8344077
2007-11-25,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-12-02,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-12-09,New Zealand,6.0,Nation,-41.5000831,172.8344077
2007-12-16,New Zealand,9.0,Nation,-41.5000831,172.8344077
2007-12-23,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-12-30,New Zealand,9.0,Nation,-41.5000831,172.8344077
2008-01-06,New Zealand,10.0,Nation,-41.5000831,172.8344077
2008-01-13,New Zealand,8.0,Nation,-41.5000831,172.8344077
2008-01-20,New Zealand,7.0,Nation,-41.5000831,172.8344077
2008-01-27,New Zealand,10.0,Nation,-41.5000831,172.8344077
2008-02-03,New Zealand,7.0,Nation,-41.5000831,172.8344077
2008-02-10,New Zealand,9.0,Nation,-41.5000831,172.8344077
2008-02-17,New Zealand,16.0,Nation,-41.5000831,172.8344077
2008-02-24,New Zealand,12.0,Nation,-41.5000831,172.8344077
2008-03-02,New Zealand,14.0,Nation,-41.5000831,172.8344077
2008-03-09,New Zealand,16.0,Nation,-41.5000831,172.8344077
2008-03-16,New Zealand,14.0,Nation,-41.5000831,172.8344077
2008-03-23,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-03-30,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-04-06,New Zealand,16.0,Nation,-41.5000831,172.8344077
2008-04-13,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-04-20,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-04-27,New Zealand,24.0,Nation,-41.5000831,172.8344077
2008-05-04,New Zealand,23.0,Nation,-41.5000831,172.8344077
2008-05-11,New Zealand,20.0,Nation,-41.5000831,172.8344077
2008-05-18,New Zealand,27.0,Nation,-41.5000831,172.8344077
2008-05-25,New Zealand,29.0,Nation,-41.5000831,172.8344077
2008-06-01,New Zealand,32.0,Nation,-41.5000831,172.8344077
2008-06-08,New Zealand,42.0,Nation,-41.5000831,172.8344077
2008-06-15,New Zealand,66.0,Nation,-41.5000831,172.8344077
2008-06-22,New Zealand,54.0,Nation,-41.5000831,172.8344077
2008-06-29,New Zealand,71.0,Nation,-41.5000831,172.8344077
2008-07-06,New Zealand,70.0,Nation,-41.5000831,172.8344077
2008-07-13,New Zealand,78.0,Nation,-41.5000831,172.8344077
2008-07-20,New Zealand,85.0,Nation,-41.5000831,172.8344077
