Date,Location,Results,Layer,Latitude,Longitude
2006-01-15,South Africa,1835.0,Nation,-28.8166236,24.991639
2006-01-22,South Africa,1866.0,Nation,-28.8166236,24.991639
2006-01-29,South Africa,1991.0,Nation,-28.8166236,24.991639
2006-02-05,South Africa,2169.0,Nation,-28.8166236,24.991639
2006-02-12,South Africa,1958.0,Nation,-28.8166236,24.991639
2006-02-19,South Africa,2380.0,Nation,-28.8166236,24.991639
2006-02-26,South Africa,2244.0,Nation,-28.8166236,24.991639
2006-03-05,South Africa,2179.0,Nation,-28.8166236,24.991639
2006-03-12,South Africa,2160.0,Nation,-28.8166236,24.991639
2006-03-19,South Africa,2199.0,Nation,-28.8166236,24.991639
2006-03-26,South Africa,2782.0,Nation,-28.8166236,24.991639
2006-04-02,South Africa,2312.0,Nation,-28.8166236,24.991639
2006-04-09,South Africa,2343.0,Nation,-28.8166236,24.991639
2006-04-16,South Africa,2241.0,Nation,-28.8166236,24.991639
2006-04-23,South Africa,2398.0,Nation,-28.8166236,24.991639
2006-04-30,South Africa,2573.0,Nation,-28.8166236,24.991639
2006-05-07,South Africa,3048.0,Nation,-28.8166236,24.991639
2006-05-14,South Africa,3212.0,Nation,-28.8166236,24.991639
2006-05-21,South Africa,3975.0,Nation,-28.8166236,24.991639
2006-05-28,South Africa,4159.0,Nation,-28.8166236,24.991639
2006-06-04,South Africa,4707.0,Nation,-28.8166236,24.991639
2006-06-11,South Africa,4619.0,Nation,-28.8166236,24.991639
2006-06-18,South Africa,3571.0,Nation,-28.8166236,24.991639
2006-06-25,South Africa,3344.0,Nation,-28.8166236,24.991639
2006-07-02,South Africa,4091.0,Nation,-28.8166236,24.991639
2006-07-09,South Africa,3623.0,Nation,-28.8166236,24.991639
2006-07-16,South Africa,3225.0,Nation,-28.8166236,24.991639
2006-07-23,South Africa,3205.0,Nation,-28.8166236,24.991639
2006-07-30,South Africa,2975.0,Nation,-28.8166236,24.991639
2006-08-06,South Africa,3130.0,Nation,-28.8166236,24.991639
2006-08-13,South Africa,3062.0,Nation,-28.8166236,24.991639
2006-08-20,South Africa,3002.0,Nation,-28.8166236,24.991639
2006-08-27,South Africa,2950.0,Nation,-28.8166236,24.991639
2006-09-03,South Africa,2798.0,Nation,-28.8166236,24.991639
2006-09-10,South Africa,3332.0,Nation,-28.8166236,24.991639
2006-09-17,South Africa,3072.0,Nation,-28.8166236,24.991639
2006-09-24,South Africa,2687.0,Nation,-28.8166236,24.991639
2006-10-01,South Africa,2390.0,Nation,-28.8166236,24.991639
2006-10-08,South Africa,2650.0,Nation,-28.8166236,24.991639
2006-10-15,South Africa,2596.0,Nation,-28.8166236,24.991639
2006-10-22,South Africa,2298.0,Nation,-28.8166236,24.991639
2006-10-29,South Africa,1857.0,Nation,-28.8166236,24.991639
2006-11-05,South Africa,2125.0,Nation,-28.8166236,24.991639
2006-11-12,South Africa,2256.0,Nation,-28.8166236,24.991639
2006-11-19,South Africa,2019.0,Nation,-28.8166236,24.991639
2006-11-26,South Africa,2376.0,Nation,-28.8166236,24.991639
2006-12-03,South Africa,2141.0,Nation,-28.8166236,24.991639
2006-12-10,South Africa,1928.0,Nation,-28.8166236,24.991639
2006-12-17,South Africa,1626.0,Nation,-28.8166236,24.991639
2006-12-24,South Africa,1786.0,Nation,-28.8166236,24.991639
2006-12-31,South Africa,2284.0,Nation,-28.8166236,24.991639
2007-01-07,South Africa,2046.0,Nation,-28.8166236,24.991639
2007-01-14,South Africa,1714.0,Nation,-28.8166236,24.991639
2007-01-21,South Africa,1844.0,Nation,-28.8166236,24.991639
2007-01-28,South Africa,1662.0,Nation,-28.8166236,24.991639
2007-02-04,South Africa,1797.0,Nation,-28.8166236,24.991639
2007-02-11,South Africa,2136.0,Nation,-28.8166236,24.991639
2007-02-18,South Africa,2414.0,Nation,-28.8166236,24.991639
2007-02-25,South Africa,1858.0,Nation,-28.8166236,24.991639
2007-03-04,South Africa,2002.0,Nation,-28.8166236,24.991639
2007-03-11,South Africa,2338.0,Nation,-28.8166236,24.991639
2007-03-18,South Africa,2198.0,Nation,-28.8166236,24.991639
2007-03-25,South Africa,2124.0,Nation,-28.8166236,24.991639
2007-04-01,South Africa,2220.0,Nation,-28.8166236,24.991639
2007-04-08,South Africa,2508.0,Nation,-28.8166236,24.991639
2007-04-15,South Africa,2221.0,Nation,-28.8166236,24.991639
2007-04-22,South Africa,1944.0,Nation,-28.8166236,24.991639
2007-04-29,South Africa,2628.0,Nation,-28.8166236,24.991639
2007-05-06,South Africa,2928.0,Nation,-28.8166236,24.991639
2007-05-13,South Africa,2821.0,Nation,-28.8166236,24.991639
2007-05-20,South Africa,2947.0,Nation,-28.8166236,24.991639
2007-05-27,South Africa,3481.0,Nation,-28.8166236,24.991639
2007-06-03,South Africa,3235.0,Nation,-28.8166236,24.991639
2007-06-10,South Africa,3367.0,Nation,-28.8166236,24.991639
2007-06-17,South Africa,2954.0,Nation,-28.8166236,24.991639
2007-06-24,South Africa,3329.0,Nation,-28.8166236,24.991639
2007-07-01,South Africa,3146.0,Nation,-28.8166236,24.991639
2007-07-08,South Africa,3580.0,Nation,-28.8166236,24.991639
2007-07-15,South Africa,3665.0,Nation,-28.8166236,24.991639
2007-07-22,South Africa,3743.0,Nation,-28.8166236,24.991639
2007-07-29,South Africa,3816.0,Nation,-28.8166236,24.991639
2007-08-05,South Africa,3889.0,Nation,-28.8166236,24.991639
2007-08-12,South Africa,4253.0,Nation,-28.8166236,24.991639
2007-08-19,South Africa,3900.0,Nation,-28.8166236,24.991639
2007-08-26,South Africa,3648.0,Nation,-28.8166236,24.991639
2007-09-02,South Africa,3293.0,Nation,-28.8166236,24.991639
2007-09-09,South Africa,3002.0,Nation,-28.8166236,24.991639
2007-09-16,South Africa,2896.0,Nation,-28.8166236,24.991639
2007-09-23,South Africa,2801.0,Nation,-28.8166236,24.991639
2007-09-30,South Africa,2291.0,Nation,-28.8166236,24.991639
2007-10-07,South Africa,2553.0,Nation,-28.8166236,24.991639
2007-10-14,South Africa,2251.0,Nation,-28.8166236,24.991639
