Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2002-12-29,Argentina,0.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,174,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,329,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,0.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-01-05,Argentina,0.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,162,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,315,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,0.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-01-12,Argentina,0.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,174,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,1.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,314,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,0.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-01-19,Argentina,0.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,162,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,267,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,0.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-01-26,Argentina,0.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,131,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,241,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,0.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-02-02,Argentina,136.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,151,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,227,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,0.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-02-09,Argentina,145.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,184,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,250,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,664.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-02-16,Argentina,141.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,0.0,State,-17.0568696,-64.9912286,Brazil,162,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,236,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,736.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-02-23,Argentina,135.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,426.0,State,-17.0568696,-64.9912286,Brazil,194,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,274,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,740.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
2003-03-02,Argentina,134.0,Nation,-34.9964963,-64.9672817,Australia,0.0,State,-24.7761086,134.755,Austria,0.0,State,47.2000338,13.199959,Belgium,0.0,State,50.6402809,4.6667145,Bolivia,427.0,State,-17.0568696,-64.9912286,Brazil,177,State,-10.3333333,-53.2,Bulgaria,0.0,State,42.6073975,25.4856617,Canada,0.0,State,61.0666922,-107.9917071,Chile,0.0,State,-31.7613365,-71.3187697,France,0.0,State,46.603354,1.8883335,Germany,0.0,State,51.0834196,10.4234469,Hungary,0.0,State,47.1817585,19.5060937,Japan,0.0,State,36.5748441,139.2394179,Mexico,0.0,State,19.4326296,-99.1331785,Netherlands,0.0,State,52.5001698,5.7480821,New Zealand,0.0,State,-41.5000831,172.8344077,Norway,0.0,State,60.5000209,9.0999715,Paraguay,0.0,State,-23.3165935,-58.1693445,Peru,270,State,-6.8699697,-75.0458515,Poland,0.0,State,52.215933,19.134422,Romania,864.0,State,45.9852129,24.6859225,Russia,0.0,State,64.6863136,97.7453061,South Africa,0.0,State,-28.8166236,24.991639,Spain,0.0,State,39.3262345,-4.8380649,Sweden,0.0,State,59.6749712,14.5208584,Switzerland,0.0,State,46.7985624,8.2319736,Ukraine,0.0,State,49.4871968,31.2718321,United States,0.0,State,39.7837304,-100.4458825,Uruguay,0.0,State,-32.8755548,-56.0201525
