Date,Location,Results,Layer,Latitude,Longitude
2002-12-29,Argentina,0.0,State,-34.9964963,-64.9672817
2003-01-05,Argentina,0.0,State,-34.9964963,-64.9672817
2003-01-12,Argentina,0.0,State,-34.9964963,-64.9672817
2003-01-19,Argentina,0.0,State,-34.9964963,-64.9672817
2003-01-26,Argentina,0.0,State,-34.9964963,-64.9672817
2003-02-02,Argentina,136.0,State,-34.9964963,-64.9672817
2003-02-09,Argentina,145.0,State,-34.9964963,-64.9672817
2003-02-16,Argentina,141.0,State,-34.9964963,-64.9672817
2003-02-23,Argentina,135.0,State,-34.9964963,-64.9672817
2003-03-02,Argentina,134.0,State,-34.9964963,-64.9672817
2003-03-09,Argentina,136.0,State,-34.9964963,-64.9672817
2003-03-16,Argentina,134.0,State,-34.9964963,-64.9672817
2003-03-23,Argentina,153.0,State,-34.9964963,-64.9672817
2003-03-30,Argentina,158.0,State,-34.9964963,-64.9672817
2003-04-06,Argentina,187.0,State,-34.9964963,-64.9672817
2003-04-13,Argentina,193.0,State,-34.9964963,-64.9672817
2003-04-20,Argentina,186.0,State,-34.9964963,-64.9672817
2003-04-27,Argentina,209.0,State,-34.9964963,-64.9672817
2003-05-04,Argentina,239.0,State,-34.9964963,-64.9672817
2003-05-11,Argentina,241.0,State,-34.9964963,-64.9672817
2003-05-18,Argentina,232.0,State,-34.9964963,-64.9672817
2003-05-25,Argentina,251.0,State,-34.9964963,-64.9672817
2003-06-01,Argentina,253.0,State,-34.9964963,-64.9672817
2003-06-08,Argentina,261.0,State,-34.9964963,-64.9672817
2003-06-15,Argentina,258.0,State,-34.9964963,-64.9672817
2003-06-22,Argentina,278.0,State,-34.9964963,-64.9672817
2003-06-29,Argentina,348.0,State,-34.9964963,-64.9672817
2003-07-06,Argentina,325.0,State,-34.9964963,-64.9672817
2003-07-13,Argentina,307.0,State,-34.9964963,-64.9672817
2003-07-20,Argentina,239.0,State,-34.9964963,-64.9672817
2003-07-27,Argentina,229.0,State,-34.9964963,-64.9672817
2003-08-03,Argentina,235.0,State,-34.9964963,-64.9672817
2003-08-10,Argentina,225.0,State,-34.9964963,-64.9672817
2003-08-17,Argentina,201.0,State,-34.9964963,-64.9672817
2003-08-24,Argentina,192.0,State,-34.9964963,-64.9672817
2003-08-31,Argentina,224.0,State,-34.9964963,-64.9672817
2003-09-07,Argentina,210.0,State,-34.9964963,-64.9672817
2003-09-14,Argentina,204.0,State,-34.9964963,-64.9672817
2003-09-21,Argentina,213.0,State,-34.9964963,-64.9672817
2003-09-28,Argentina,217.0,State,-34.9964963,-64.9672817
2003-10-05,Argentina,205.0,State,-34.9964963,-64.9672817
